Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional,Translated_Cleaned_Traditional,Translated_Cleaned_GPT,Translated_Cleaned_GPT+Traditional,Translated_Traditional,Translated_GPT,Translated_GPT+Traditional
sadness,"Gegara td malem treak treak gemash ngliat indo kalah 2-1 sm thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yg nonton td mlm ngacung coba? Kalean tim mana nih?",gegara tadu malam treak treak gemash ngliat indonesia kalah sama thailand di kandang sendiri kini tenggorokan meminta digaruk _________ yang menonton tadu malam ngacung coba kalean tim mana nih,"Gegara tadi malam teriak teriak gemas melihat Indonesia kalah 2-1 sama Thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yang nonton tadi malam ngacung coba? Kalian tim mana nih?",gegara tadi malam teriak teriak gemas melihat indonesia kalah sama thailand di kandang sendiri kini tenggorokan meminta digaruk _________ yang menonton tadi malam ngacung coba kalian tim mana nih,"last night last night shouted exasperated to see Indonesia losing to Thailand at home, now the throat asked to be scratched ________","Last night last night shouted exasperated to see Indonesia losing 2-1 to Thailand at home, now the throat asked to be scratched -_________- who watched last night?Which team are you?",Error: 'Translator' object has no attribute 'raise_Exception',"last night last night shouted exasperated to see Indonesia losing to Thailand at home, now the throat asked to be scratched ________","Last night last night shouted exasperated to see Indonesia losing 2-1 to Thailand at home, now the throat asked to be scratched -_________- who watched last night?Which team are you?","last night last night shouted exasperated to see Indonesia losing to Thailand at home, now the throat asked to scratch ________"
anger,"Tapi angin2an sih. Kadang ditindak, kadang enggak. Gak konsisten, jd gak fair. Siapa yg merasa gak fair, ya pmlik mbl yg pas parkir di situ, terus ditindak. Kitu sanes...??",tetapi angin an sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mbl yang pas parkir di situ terus ditindak kitu sanes,"Tapi angin-anginan sih. Kadang ditindak, kadang tidak. Tidak konsisten, jadi tidak fair. Siapa yang merasa tidak fair, ya pemilik mobil yang pas parkir di situ, terus ditindak. Kitu sanes...??",tetapi angin anginan sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mobil yang pas parkir di situ terus ditindak kitu sanes,But the wind is sometimes dealt with sometimes it is not asi consistent so it is unfair who feels unfair yes the owner of the MBL who is right parking there continues to be dealt with because Sanes,Error: 'Translator' object has no attribute 'raise_Exception',But the wind is sometimes dealt with sometimes it is not inconsistent so it is unfair who feels unfair yes the car owner who is right parking there continues to be dealt with because Sanes,But the wind is sometimes dealt with sometimes it is not asi consistent so it is unfair who feels unfair yes the owner of the MBL who is right parking there continues to be dealt with because Sanes,Error: 'Translator' object has no attribute 'raise_Exception',But the wind is sometimes dealt with sometimes it is not inconsistent so it is unfair who feels unfair yes the car owner who is right parking there continues to be dealt with because Sanes
happy,"Terima kasih yak buat kakak* diJakarta n Surabaya yg udh luangin waktunya buat meetup.. hehehehee , so sekarang saatnya off , sampai ketemu akhir bulan ya di Balikpapan dan Denpasar... GBU all",terima kasih iya buat kakak di jakarta dan surabaya yang sudah meluangkan waktunya buat meetup hehehehee sok sekarang saatnya off sampai ketemu akhir bulan iya di balikpapan dan denpasar tuhan memberkati all,"Terima kasih ya buat kakak di Jakarta dan Surabaya yang sudah meluangkan waktunya untuk meetup.. hehehe , jadi sekarang saatnya pulang , sampai jumpa akhir bulan di Balikpapan dan Denpasar... GBU all",terima kasih iya buat kakak di jakarta dan surabaya yang sudah meluangkan waktunya untuk meetup hehe jadi sekarang saatnya pulang sampai jumpa akhir bulan di balikpapan dan denpasar tuhan memberkati all,Thank you yes to brother in Jakarta and Surabaya who have taken the time to meetup hehehehee pretending now is the time to be off until the end of the month in Balikpapan and Denpasar God bless all,"Thank you for your brother in Jakarta and Surabaya who have taken the time to meetup ... hehehe, so now it's time to go home, see you at the end of the month in Balikpapan and Denpasar ... GBU ALL",Thank you yes to brother in Jakarta and Surabaya who have taken the time to meetup hehe so now is the time to go home until the end of the month in Balikpapan and Denpasar God bless all,Thank you yes to brother in Jakarta and Surabaya who have taken the time to meetup hehehehee pretending now is the time to be off until the end of the month in Balikpapan and Denpasar God bless all,"Thank you for your brother in Jakarta and Surabaya who have taken the time to meetup ... hehehe, so now it's time to go home, see you at the end of the month in Balikpapan and Denpasar ... GBU ALL",Thank you yes to brother in Jakarta and Surabaya who have taken the time to meetup hehe so now is the time to go home until the end of the month in Balikpapan and Denpasar God bless all
anger,"Lagi ngoceh soal artis xx yg di follow masku..ya ngoceh dikit Temen kerja gue komentar ""haha kasian ya lu beli tiket mahal cuma salaman kaga di folbek"" I was like ""-_________-"" Pfftt Males ngobrol ama orang gblk emang",sedang mengoceh soal artis xx yang di follow mas ku iya mengoceh sedikit teman kerja saya komentar tertawa kasihan iya kamu beli tiket mahal cuma salaman kagak di ikuti kembali i was like _________ pfftt malas bicara sama orang goblok memang,"Lagi mengoceh soal artis xx yang di follow masuk.. ya mengoceh sedikit Teman kerja saya komentar ""haha kasian ya kamu beli tiket mahal cuma bersalaman gak di followback"" I was like ""-_________-"" Pfftt Malas ngobrol dengan orang goblok memang",sedang mengoceh soal artis xx yang di follow masuk iya mengoceh sedikit teman kerja saya komentar tertawa kasihan iya kamu beli tiket mahal cuma bersalaman tidak di followback i was like _________ pfftt malas bicara dengan orang goblok memang,"is blabbering about the artist xx who was followed, bro, yes, blabbering a little of my work colleagues, comment, sorry, yes, you buy an expensive ticket, just shaking, not followed again I was like _________ PFFTT is lazy to talk to people",Error: 'Translator' object has no attribute 'raise_Exception',"Being blabbering about the artist XX who was followed in yes blabbering a little of my work colleagues, comment, sorry, you bought an expensive ticket, just shaking hands.","is blabbering about the artist xx who was followed, bro, yes, blabbering a little of my work colleagues, comment, sorry, yes, you buy an expensive ticket, just shaking, not followed again I was like _________ PFFTT is lazy to talk to people",Error: 'Translator' object has no attribute 'raise_Exception',"Being blabbering about the artist XX who was followed in yes blabbering a little of my work colleagues, comment, sorry, you bought an expensive ticket, just shaking hands."
sadness,"Yang saya lakukan ketika mikir keras : 1. Mantengin leptop berharap dapat ide. Buntu. 2. Nyetel musik berharap merilekskan otak, biar ada inspirasi. Buntu. 3. Glibag-glibug di kasur, merenung sambil meluk bantal. Kemudian ketiduran.",yang saya lakukan ketika pikir keras mantengin leptop berharap dapat ide buntu setel musik berharap merilekskan otak biar ada inspirasi buntu glibag glibug di kasur merenung sambil memeluk bantal kemudian ketiduran,"Yang saya lakukan ketika mikir keras adalah: 1. Mantengin laptop berharap dapat ide. Buntu. 2. Mendengarkan musik berharap bisa merilekskan otak, biar ada inspirasi. Buntu. 3. Bergelimpangan di kasur, merenung sambil memeluk bantal. Kemudian ketiduran.",yang saya lakukan ketika pikir keras adalah mantengin laptop berharap dapat ide buntu mendengarkan musik berharap bisa merilekskan otak biar ada inspirasi buntu bergelimpangan di kasur merenung sambil memeluk bantal kemudian ketiduran,what I did when I thought hard to care for Leptop hopes to get a dead -end idea after music hopes to relax the brain so that there is an inspiration for Buntu Glibag Glibug on the bed pondering while hugging the pillow and then overslept,"What I do when thinking hard is: 1. Watch the laptop hoping to get an idea.Buntu.2. Listening to music hopes to relax the brain, so there is inspiration.Buntu.3. Lay on the bed, pondering while hugging a pillow.Then overslept.",what I do when I think loudly is to watch a laptop hoping to be deadlocked to listening to music hoping to be able to relax the brain so that there is an inspiration for a dead end on the bed while hugging the pillow then falls asleep,what I did when I thought hard to care for Leptop hopes to get a dead -end idea after music hopes to relax the brain so that there is an inspiration for Buntu Glibag Glibug on the bed pondering while hugging the pillow and then overslept,"What I do when thinking hard is: 1. Watch the laptop hoping to get an idea.Buntu.2. Listening to music hopes to relax the brain, so there is inspiration.Buntu.3. Lay on the bed, pondering while hugging a pillow.Then overslept.",what I do when I think loudly is to watch a laptop hoping to be deadlocked to listening to music hoping to be able to relax the brain so that there is an inspiration for a dead end on the bed while hugging the pillow then falls asleep
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"Sama'nya sudah jangan ganti-ganti saja kali ya, menyiksa batin sangat. Axis disini.",sama nya sudah jangan ganti ganti saja kali iya menyiksa batin sangat axis disini,"samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief","It's the same, don't just change it, right, torturing the mind.Axis here.","the same, don't change it, just torture the mind is very axis here","samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief","It's the same, don't just change it, right, torturing the mind.Axis here.","the same, don't change it, just torture the mind is very axis here"
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"Sama'nya sudah jangan ganti-ganti saja kali ya, menyiksa batin sangat. Axis disini.",sama nya sudah jangan ganti ganti saja kali iya menyiksa batin sangat axis disini,"samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief","It's the same, don't just change it, right, torturing the mind.Axis here.","the same, don't change it, just torture the mind is very axis here","samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief","It's the same, don't just change it, right, torturing the mind.Axis here.","the same, don't change it, just torture the mind is very axis here"
happy,oke (y) cek fav ka :),oke ya cek favorit kak,"Oke (ya), cek favorit kak :)",oke iya cek favorit kakak,Error: 'Translator' object has no attribute 'raise_Exception',"Okay (yes), check your favorite sis :)",okay yes check your favorite,"okay, check your favorite sis","Okay (yes), check your favorite sis :)",okay yes check your favorite
sadness,Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari smp entahlah sampai sekarang. dari yg pertama rame sekali twitter sampai hampa gt. tl sepe bgt hufth..kek hati saya gt. *eaaaaa hahahaha #HariJadiTwitterSaya [URL],ingat saat kalian bergabung dengan twitter saya ingat dari Sekolah Menengah Pertama entahlah sampai sekarang dari yang pertama ramai sekali twitter sampai hampa begitu tl sepi sangat hufth kayak hati saya begitu eaa hahahaha harijaditwittersaya,"Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari SMP entahlah sampai sekarang, dari yang pertama ramai sekali Twitter sampai hampa gitu. TL sepi banget huft... kayak hati saya gitu. *eaaaaa hahahaha #HariJadiTwitterSaya [URL]",ingat saat kalian bergabung dengan twitter saya ingat dari Sekolah Menengah Pertama entahlah sampai sekarang dari yang pertama ramai sekali twitter sampai hampa begitu tl sepi sekali mengeluh mirip hati saya begitu eaa hahahaha harijaditwittersaya,"Remember when you join Twitter I remember from junior high school, I don't know until now from the first crowded Twitter to empty so it was very quiet like my heart so my heart hahahaha Harijaditwitters","Remember when you join Twitter?I remember!From junior high school, I don't know until now, from the first crowded Twitter to empty.TL really quiet huft ... like my heart.*eaaaaa hahahaha #harijaditwittersaki [url]","Remember when you join Twitter I remember from junior high school, I don't know until now from the first crowded Twitter to empty so that it was very quiet, I complained like my heart was so hahahahahaha Harijaditwitters",Error: 'Translator' object has no attribute 'raise_Exception',"Remember when you join Twitter?I remember!From junior high school, I don't know until now, from the first crowded Twitter to empty.TL really quiet huft ... like my heart.*eaaaaa hahahaha #harijaditwittersaki [url]","Remember when you join Twitter I remember from junior high school, I don't know until now from the first crowded Twitter to empty so that it was very quiet, I complained like my heart was so hahahahahaha Harijaditwitters"
anger,kamu yang alay yah -_- kamu sih 4lay ih akoh molo sih seble :]x bagaikan menyiram luka pakai air,kamu yang norak ya _ kamu sih lay ih saya molo sih sebal x bagaikan menyiram luka pakai air,"Kamu yang alay, ya -_- Kamu itu alay banget, aku malah jadi sebel deh. Bagaikan menyiram luka dengan air.",kamu yang norak iya _ kamu itu norak banget saya bahkan jadi kesal deh bagaikan menyiram luka dengan air,"You are tacky, _ you are Lay, I am molo, but it is annoyed like watering a wound using water","You are alay, yes -_- you are really alay, I actually become resentful.Like watering wounds with water.","You who are tacky, yes, _, you are very tacky, I even become upset like watering wounds with water","You are tacky, _ you are Lay, I am molo, but it is annoyed like watering a wound using water","You are alay, yes -_- you are really alay, I actually become resentful.Like watering wounds with water.","You who are tacky, yes, _, you are very tacky, I even become upset like watering wounds with water"
